City,Colour,Connected1,Connected2,Connected3,Connected4,Connected5,Connected6
Sunspear,black,Blackmont,Kings_Landing,Barrowton,x,x,x
Kings_Landing,black,Blackmont,Planky_Town,Sunspear,Barrowton,Bear_Island,x
Starfall,black,Braavos,Kingsgrave,Blackmont,x,x,x
Bear_Island,black,Bywater,Waymeet,Kings_Landing,Barrowton,Castle_Cerwyn,Winterfell
Castle_Cerwyn,black,Hobbiton,Barrowton,Bear_Island,Bree,x,x
Volantis,black,Houston,San_Francisco,Braavos,Kingsgrave,x,x
Planky_Town,black,Kingsgrave,Blackmont,Kings_Landing,Winterfell,x,x
Blackmont,black,Kingsgrave,Starfall,Planky_Town,Sunspear,Kings_Landing,x
Braavos,black,Los_Angeles,San_Francisco,Volantis,Kingsgrave,Starfall,x
Barrowton,black,Sunspear,Kings_Landing,Castle_Cerwyn,Bear_Island,Leeds,x
Kingsgrave,black,Volantis,Braavos,Starfall,Blackmont,Planky_Town,x
Winterfell,black,Waymeet,Planky_Town,Bear_Island,x,x,x
Lake_town,blue,Cair_Andros,Dale,Edoras,Bree,x,x
Waymeet,blue,Crickhollow,Bear_Island,Winterfell,x,x,x
Osgiliath,blue,Dol_Amroth,Bournemouth,Mexico_City,Ottawa,x,x
Minas_Tirith,blue,Dol_Amroth,Dale,Bath,x,x,x
Cair_Andros,blue,Dol_Amroth,Dale,Lake_town,x,x,x
Hobbiton,blue,Edoras,Crickhollow,Bywater,Castle_Cerwyn,Bree,x
Crickhollow,blue,Edoras,Hobbiton,Bywater,Waymeet,x,x
Bywater,blue,Hobbiton,Crickhollow,Bear_Island,x,x,x
Bree,blue,Lake_town,Edoras,Hobbiton,Castle_Cerwyn,Brighton,x
Edoras,blue,Lake_town,Hobbiton,Crickhollow,Bree,x,x
Dol_Amroth,blue,Minas_Tirith,Cair_Andros,Bournemouth,Osgiliath,Southampton,x
Dale,blue,Minas_Tirith,Cair_Andros,Lake_town,Bath,x,x
Panama,red,Bournemouth,Mexico_City,Los_Angeles,x,x,x
San_Francisco,red,Chicago,Houston,Los_Angeles,Volantis,Braavos,x
Chicago,red,Mexico_City,Houston,Los_Angeles,San_Francisco,x,x
Mexico_City,red,Osgiliath,Panama,Philadelphia,Chicago,Houston,x
Ottawa,red,Osgiliath,Washington,Toronto,Dallas,x,x
Toronto,red,Ottawa,Dallas,Las_Vegas,x,x,x
Los_Angeles,red,Panama,Chicago,San_Francisco,Braavos,x,x
Houston,red,Philadelphia,Chicago,Dallas,San_Francisco,Volantis,x
Dallas,red,Philadelphia,Ottawa,Toronto,Houston,Las_Vegas,x
Washington,red,Philadelphia,Ottawa,x,x,x,x
Las_Vegas,red,Toronto,Dallas,x,x,x,x
Philadelphia,red,Washington,Houston,Dallas,x,x,x
Leeds,yellow,Barrowton,Nottingham,Leicester,Cambridge,x,x
London,yellow,Brighton,Exeter,x,x,x,x
Exeter,yellow,Brighton,London,Swindon,Bath,Southampton,x
Brighton,yellow,Cambridge,London,Exeter,Bree,x,x
Southampton,yellow,Dol_Amroth,Bournemouth,Swindon,Exeter,Bath,x
Bournemouth,yellow,Dol_Amroth,Panama,Southampton,Osgiliath,x,x
Cambridge,yellow,Leeds,Leicester,Brighton,x,x,x
Nottingham,yellow,Leeds,Leicester,x,x,x,x
Leicester,yellow,Leeds,Nottingham,Cambridge,x,x,x
Bath,yellow,Minas_Tirith,Dale,Exeter,Southampton,x,x
Swindon,yellow,Oxford,Exeter,Southampton,x,x,x
Oxford,yellow,Swindon,x,x,x,x,x
